Date,TCS.NS,RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS
2002-08-12 00:00:00+05:30,29.547719955444336,13.301712036132812,17.531587600708008,34.70276641845703,17.6199951171875
2002-08-13 00:00:00+05:30,29.147674560546875,13.390045166015625,17.673643112182617,34.71243667602539,17.613441467285156
2002-08-14 00:00:00+05:30,27.138118743896484,13.169219970703125,17.40624237060547,33.96529006958008,17.351133346557617
2002-08-15 00:00:00+05:30,27.138118743896484,13.169219970703125,17.40624237060547,33.96529006958008,17.351133346557617
2002-08-16 00:00:00+05:30,27.073009490966797,13.40384292602539,17.5733699798584,34.51946258544922,17.60032081604004
2002-08-19 00:00:00+05:30,26.403156280517578,13.539093971252441,17.631866455078125,34.70597839355469,17.823274612426758
2002-08-20 00:00:00+05:30,27.138118743896484,13.740595817565918,17.677824020385742,35.724586486816406,17.705242156982422
2002-08-21 00:00:00+05:30,28.468517303466797,13.536336898803711,17.498165130615234,36.459381103515625,17.74458885192871
2002-08-22 00:00:00+05:30,29.69658088684082,13.671585083007812,17.46055793762207,36.242759704589844,17.626550674438477
2002-08-23 00:00:00+05:30,31.482837677001953,13.787518501281738,17.506521224975586,37.9810905456543,18.275741577148438
2002-08-26 00:00:00+05:30,31.371200561523438,13.853764533996582,17.581727981567383,37.503238677978516,18.275741577148438
2002-08-27 00:00:00+05:30,30.589710235595703,13.613624572753906,17.535768508911133,36.77920150756836,18.328201293945312
2002-08-28 00:00:00+05:30,30.617618560791016,13.563936233520508,17.535768508911133,36.83994674682617,18.26262855529785
2002-08-29 00:00:00+05:30,30.617618560791016,13.7792387008667,17.598434448242188,37.49195098876953,18.21672248840332
2002-08-30 00:00:00+05:30,32.78532028198242,14.104947090148926,17.510696411132812,38.7486686706543,18.8331298828125
2002-09-02 00:00:00+05:30,33.12025833129883,14.643204689025879,17.539945602416992,38.46377944946289,18.656078338623047
2002-09-03 00:00:00+05:30,31.566577911376953,14.590758323669434,17.54829978942871,37.56935119628906,18.413448333740234
2002-09-04 00:00:00+05:30,32.25503158569336,14.866783142089844,17.786453247070312,37.65697479248047,18.282302856445312
2002-09-05 00:00:00+05:30,32.059661865234375,14.681845664978027,17.707069396972656,38.505184173583984,18.38066291809082
2002-09-06 00:00:00+05:30,30.868806838989258,14.66528606414795,17.602619171142578,37.9730224609375,18.74132537841797
2002-09-09 00:00:00+05:30,30.468759536743164,14.405818939208984,17.55247688293457,38.724483489990234,18.53804588317871
2002-09-10 00:00:00+05:30,30.468759536743164,14.405818939208984,17.55247688293457,38.724483489990234,18.53804588317871
2002-09-11 00:00:00+05:30,31.24094581604004,14.209836959838867,17.765565872192383,39.686649322509766,18.885591506958008
2002-09-12 00:00:00+05:30,31.39910888671875,14.38097095489502,17.832416534423828,39.18352127075195,18.885591506958008
2002-09-13 00:00:00+05:30,30.505983352661133,14.29816722869873,17.945226669311523,38.38423538208008,18.793785095214844
2002-09-16 00:00:00+05:30,29.91055679321289,14.245722770690918,18.04132652282715,38.275115966796875,18.721651077270508
2002-09-17 00:00:00+05:30,30.78509521484375,14.44170093536377,18.60537338256836,39.44098663330078,18.85280418395996
2002-09-18 00:00:00+05:30,29.83613395690918,14.278846740722656,18.78921127319336,38.36165237426758,18.931489944458008
2002-09-19 00:00:00+05:30,29.584922790527344,14.248482704162598,18.392288208007812,37.58119201660156,19.16756248474121
2002-09-20 00:00:00+05:30,29.10114860534668,14.104947090148926,18.392288208007812,37.694061279296875,18.47246551513672
2002-09-23 00:00:00+05:30,28.60806655883789,14.353373527526855,18.375579833984375,37.44895553588867,18.09868812561035
2002-09-24 00:00:00+05:30,27.640514373779297,14.104947090148926,18.112356185913086,36.60020065307617,18.203611373901367
2002-09-25 00:00:00+05:30,27.854490280151367,14.09666919708252,17.539945602416992,37.285545349121094,17.967540740966797
2002-09-26 00:00:00+05:30,28.291757583618164,14.115988731384277,17.506521224975586,37.39680099487305,17.751144409179688
2002-09-27 00:00:00+05:30,28.63599967956543,14.240201950073242,18.450790405273438,37.71826171875,18.09868812561035
2002-09-30 00:00:00+05:30,27.593997955322266,14.245722770690918,18.266944885253906,36.620635986328125,18.40033721923828
2002-10-01 00:00:00+05:30,27.36140251159668,13.801321983337402,17.68618392944336,36.62548065185547,18.997066497802734
2002-10-02 00:00:00+05:30,27.36140251159668,13.801321983337402,17.68618392944336,36.62548065185547,18.997066497802734
2002-10-03 00:00:00+05:30,28.096385955810547,13.36520004272461,17.527406692504883,37.27371597290039,18.63640594482422
2002-10-04 00:00:00+05:30,27.919618606567383,13.036728858947754,17.556659698486328,37.63117218017578,18.800344467163086
2002-10-07 00:00:00+05:30,27.798677444458008,13.257550239562988,17.47309684753418,37.14525604248047,18.780672073364258
2002-10-08 00:00:00+05:30,28.55224609375,13.378998756408691,17.47309684753418,38.139122009277344,18.164262771606445
2002-10-09 00:00:00+05:30,27.826580047607422,13.160938262939453,17.402063369750977,37.381229400634766,17.92819595336914
2002-10-10 00:00:00+05:30,27.854490280151367,13.078132629394531,17.243289947509766,39.03731155395508,17.71835708618164
2002-10-11 00:00:00+05:30,28.44061279296875,13.227185249328613,17.272544860839844,40.541290283203125,18.085575103759766
2002-10-14 00:00:00+05:30,28.23593521118164,13.370719909667969,17.376995086669922,41.07451248168945,18.177377700805664
2002-10-15 00:00:00+05:30,28.23593521118164,13.370719909667969,17.376995086669922,41.07451248168945,18.177377700805664
2002-10-16 00:00:00+05:30,28.291757583618164,13.481130599975586,17.071989059448242,40.3037223815918,18.059343338012695
